Bo_gene	subgenome	At_gene
Bo1g024180	LF	AT4G21445
Bo1g024210	LF	AT4G21500
Bo1g024220	LF	AT4G21510
Bo1g024230	LF	AT4G21520
Bo1g024240	LF	AT4G21530
Bo1g024250	LF	AT4G21550
Bo1g024260	LF	AT4G21560
Bo1g024270	LF	AT4G21570
Bo1g024300	LF	AT4G21580
Bo1g024330	LF	AT4G21630
Bo1g024340	LF	AT4G21660
Bo1g024360	LF	AT4G21670
Bo1g024370	LF	AT4G21680
Bo1g024420	LF	AT4G21700
Bo1g024430	LF	AT4G21710
Bo1g025450	LF	AT4G21745
Bo1g025530	LF	AT4G21770
Bo1g025540	LF	AT4G21780
Bo1g025550	LF	AT4G21790
Bo1g025580	LF	AT4G21800
Bo1g025600	LF	AT4G21820
Bo1g025620	LF	AT4G21830
Bo1g025630	LF	AT4G21870
Bo1g025640	LF	AT4G21880
Bo1g025650	LF	AT4G21890
Bo1g025660	LF	AT4G21895
Bo1g025730	LF	AT4G21902
Bo1g025780	LF	AT4G21930
Bo1g025790	LF	AT4G21940
Bo1g025800	LF	AT4G21960
Bo1g025810	LF	AT4G21970
Bo1g025820	LF	AT4G21980
Bo1g025830	LF	AT4G21990
Bo1g025840	LF	AT4G22000
Bo1g025880	LF	AT4G22010
Bo1g025900	LF	AT4G22070
Bo1g025910	LF	AT4G22080
Bo1g026910	LF	AT4G22080
Bo1g026920	LF	AT4G22110
Bo1g026980	LF	AT4G22120
Bo1g026990	LF	AT4G22130
Bo1g027000	LF	AT4G22140
Bo1g027010	LF	AT4G22150
Bo1g027020	LF	AT4G22160
Bo1g027090	LF	AT4G22190
Bo1g027100	LF	AT4G22200
Bo1g027120	LF	AT4G22220
Bo1g027130	LF	AT4G22240
Bo1g027140	LF	AT4G22250
Bo1g027150	LF	AT4G22260
Bo1g027160	LF	AT4G22270
Bo1g027170	LF	AT4G22290
Bo1g027180	LF	AT4G22310
Bo1g027200	LF	AT4G22320
Bo1g027220	LF	AT4G22340
Bo1g027230	LF	AT4G22350
Bo1g027240	LF	AT4G22360
Bo1g027250	LF	AT4G22370
Bo1g027260	LF	AT4G22380
Bo1g027300	LF	AT4G22460
Bo1g028340	LF	AT4G22485
Bo1g028360	LF	AT4G22520
Bo1g028370	LF	AT4G22530
Bo1g028380	LF	AT4G22540
Bo1g028390	LF	AT4G22550
Bo1g028400	LF	AT4G22580
Bo1g028410	LF	AT4G22590
Bo1g028430	LF	AT4G22600
Bo1g028450	LF	AT4G22620
Bo1g028500	LF	AT4G22640
Bo1g034700	LF	AT4G22660
Bo1g028510	LF	AT4G22670
Bo1g028520	LF	AT4G22680
Bo1g028540	LF	AT4G22690
Bo1g028550	LF	AT4G22720
Bo1g028580	LF	AT4G22730
Bo1g029610	LF	AT4G22740
Bo1g030650	LF	AT4G22760
Bo1g030680	LF	AT4G22780
Bo1g030730	LF	AT4G22790
Bo1g031740	LF	AT4G22810
Bo1g031760	LF	AT4G22830
Bo1g031790	LF	AT4G22870
Bo1g031800	LF	AT4G22890
Bo1g031810	LF	AT4G22910
Bo1g031960	LF	AT4G22960
Bo1g031970	LF	AT4G22970
Bo1g032010	LF	AT4G22980
Bo1g032020	LF	AT4G22990
Bo1g032040	LF	AT4G23010
Bo1g033040	LF	AT4G23020
Bo1g033050	LF	AT4G23030
Bo1g033060	LF	AT4G23060
Bo1g033070	LF	AT4G23070
Bo1g033120	LF	AT4G23100
Bo1g033130	LF	AT4G23130
Bo1g034460	LF	AT4G23330
Bo1g034530	LF	AT4G23410
Bo1g034540	LF	AT4G23420
Bo1g034550	LF	AT4G23440
Bo1g034560	LF	AT4G23450
Bo1g034640	LF	AT4G23490
Bo1g034650	LF	AT4G23493
Bo1g034660	LF	AT4G23496
Bo1g034680	LF	AT4G23500
Bo1g035760	LF	AT4G23520
Bo1g035780	LF	AT4G23530
Bo1g035790	LF	AT4G23540
Bo1g035810	LF	AT4G23550
Bo1g036810	LF	AT4G23560
Bo1g036820	LF	AT4G23570
Bo1g036850	LF	AT4G23590
Bo1g036860	LF	AT4G23610
Bo1g036870	LF	AT4G23620
Bo1g036900	LF	AT4G23630
Bo1g037040	LF	AT4G23670
Bo1g037090	LF	AT4G23690
Bo1g037110	LF	AT4G23700
Bo1g037120	LF	AT4G23710
Bo1g037170	LF	AT4G23750
Bo1g037180	LF	AT4G23800
Bo1g037200	LF	AT4G23820
Bo1g037210	LF	AT4G23850
Bo1g037230	LF	AT4G23860
Bo1g037250	LF	AT4G23870
Bo1g037260	LF	AT4G23880
Bo1g037270	LF	AT4G23885
Bo1g037280	LF	AT4G23890
Bo1g037290	LF	AT4G23895
Bo1g037300	LF	AT4G23900
Bo1g037310	LF	AT4G23910
Bo1g037320	LF	AT4G23920
Bo1g037330	LF	AT4G23930
Bo1g037360	LF	AT4G23980
Bo1g037370	LF	AT4G23990
Bo1g037400	LF	AT4G24015
Bo1g037430	LF	AT4G24020
Bo1g037450	LF	AT4G24030
Bo1g037460	LF	AT4G24040
Bo1g037470	LF	AT4G24050
Bo1g037500	LF	AT4G24060
Bo1g037510	LF	AT4G24070
Bo1g037540	LF	AT4G24110
Bo1g037550	LF	AT4G24120
Bo1g037570	LF	AT4G24130
Bo1g037580	LF	AT4G24140
Bo1g037590	LF	AT4G24150
Bo1g037600	LF	AT4G24160
Bo1g037610	LF	AT4G24170
Bo1g037660	LF	AT4G24175
Bo1g037670	LF	AT4G24180
Bo1g037680	LF	AT4G24190
Bo1g037690	LF	AT4G24204
Bo1g037700	LF	AT4G24210
Bo1g037710	LF	AT4G24220
Bo1g037730	LF	AT4G24230
Bo1g037740	LF	AT4G24240
Bo1g037750	LF	AT4G24250
Bo1g037760	LF	AT4G24260
Bo1g037770	LF	AT4G24265
Bo1g037810	LF	AT4G24265
Bo1g037780	LF	AT4G24270
Bo1g037820	LF	AT4G24270
Bo1g037830	LF	AT4G24275
Bo1g037840	LF	AT4G24280
Bo1g038860	LF	AT4G24290
Bo1g038870	LF	AT4G24310
Bo1g038880	LF	AT4G24320
Bo1g038890	LF	AT4G24330
Bo1g038900	LF	AT4G24340
Bo1g038930	LF	AT4G24370
Bo1g038940	LF	AT4G24380
Bo1g038950	LF	AT4G24400
Bo1g038960	LF	AT4G24430
Bo1g038970	LF	AT4G24440
Bo1g038980	LF	AT4G24450
Bo1g038990	LF	AT4G24460
Bo1g039000	LF	AT4G24470
Bo1g039010	LF	AT4G24480
Bo1g039020	LF	AT4G24490
Bo1g039040	LF	AT4G24520
Bo1g039100	LF	AT4G24550
Bo1g039110	LF	AT4G24560
Bo1g039130	LF	AT4G24570
Bo1g039140	LF	AT4G24580
Bo1g039160	LF	AT4G24590
Bo1g039170	LF	AT4G24610
Bo1g039180	LF	AT4G24620
Bo1g039190	LF	AT4G24630
Bo1g039200	LF	AT4G24640
Bo1g039210	LF	AT4G24660
Bo1g039220	LF	AT4G24670
Bo1g039230	LF	AT4G24680
Bo1g039240	LF	AT4G24690
Bo1g039300	LF	AT4G24770
Bo1g039310	LF	AT4G24780
Bo1g039340	LF	AT4G24805
Bo1g039360	LF	AT4G24830
Bo1g039400	LF	AT4G24890
Bo1g039410	LF	AT4G24900
Bo1g039420	LF	AT4G24910
Bo1g039430	LF	AT4G24920
Bo1g039440	LF	AT4G24930
Bo1g039450	LF	AT4G24940
Bo1g039460	LF	AT4G24950
Bo1g039470	LF	AT4G24960
Bo1g039480	LF	AT4G24970
Bo1g039490	LF	AT4G24972
Bo1g039550	LF	AT4G25030
Bo1g039590	LF	AT4G25030
Bo1g039630	LF	AT4G25040
Bo1g039640	LF	AT4G25050
Bo1g039650	LF	AT4G25070
Bo1g039660	LF	AT4G25080
Bo1g039680	LF	AT4G25090
Bo1g039700	LF	AT4G25100
Bo1g039710	LF	AT4G25110
Bo1g039720	LF	AT4G25130
Bo1g039730	LF	AT4G25140
Bo1g039740	LF	AT4G25150
Bo1g039750	LF	AT4G25160
Bo1g039850	LF	AT4G25200
Bo1g039870	LF	AT4G25210
Bo1g039880	LF	AT4G25220
Bo1g039890	LF	AT4G25225
Bo1g039930	LF	AT4G25240
Bo1g039940	LF	AT4G25250
Bo1g040000	LF	AT4G25300
Bo1g040020	LF	AT4G25315
Bo1g040030	LF	AT4G25320
Bo1g040040	LF	AT4G25340
Bo1g040070	LF	AT4G25360
Bo1g040080	LF	AT4G25370
Bo1g040100	LF	AT4G25400
Bo1g040150	LF	AT4G25420
Bo1g040160	LF	AT4G25430
Bo1g040200	LF	AT4G25433
Bo1g040210	LF	AT4G25434
Bo1g040220	LF	AT4G25440
Bo1g040230	LF	AT4G25500
Bo1g040240	LF	AT4G25515
Bo1g040280	LF	AT4G25530
Bo1g040310	LF	AT4G25590
Bo1g040340	LF	AT4G25620
Bo1g040350	LF	AT4G25630
Bo1g040360	LF	AT4G25640
Bo1g040370	LF	AT4G25650
Bo1g040380	LF	AT4G25660
Bo1g040390	LF	AT4G25670
Bo1g040430	LF	AT4G25720
Bo1g040450	LF	AT4G25750
Bo1g040480	LF	AT4G25760
Bo1g040490	LF	AT4G25770
Bo1g040500	LF	AT4G25780
Bo1g040520	LF	AT4G25800
Bo1g040530	LF	AT4G25810
Bo1g040550	LF	AT4G25830
Bo1g040560	LF	AT4G25835
Bo1g040590	LF	AT4G25870
Bo1g040620	LF	AT4G25880
Bo1g040660	LF	AT4G25910
Bo1g040670	LF	AT4G25940
Bo1g040680	LF	AT4G25960
Bo1g040690	LF	AT4G25970
Bo1g040700	LF	AT4G25980
Bo1g040710	LF	AT4G25990
Bo1g040750	LF	AT4G26000
Bo1g041820	LF	AT4G26000
Bo1g041830	LF	AT4G26010
Bo1g041860	LF	AT4G26050
Bo1g041870	LF	AT4G26080
Bo1g041880	LF	AT4G26090
Bo1g041890	LF	AT4G26100
Bo1g042920	LF	AT4G26130
Bo1g042930	LF	AT4G26140
Bo1g042950	LF	AT4G26150
Bo1g042960	LF	AT4G26160
Bo1g042990	LF	AT4G26180
Bo1g043020	LF	AT4G26200
Bo1g043040	LF	AT4G26230
Bo1g043080	LF	AT4G26270
Bo1g043090	LF	AT4G26280
Bo1g043100	LF	AT4G26300
Bo1g043140	LF	AT4G26340
Bo1g043150	LF	AT4G26370
Bo1g043160	LF	AT4G26400
Bo1g043170	LF	AT4G26410
Bo1g044200	LF	AT4G26420
Bo1g044210	LF	AT4G26420
Bo1g045220	LF	AT4G26430
Bo1g045230	LF	AT4G26440
Bo1g045260	LF	AT4G26450
Bo1g045270	LF	AT4G26455
Bo1g045280	LF	AT4G26470
Bo1g045310	LF	AT4G26490
Bo1g045320	LF	AT4G26500
Bo1g045340	LF	AT4G26540
Bo1g045370	LF	AT4G26550
Bo1g046420	LF	AT4G26580
Bo1g046430	LF	AT4G26590
Bo1g046450	LF	AT4G26600
Bo1g046460	LF	AT4G26610
Bo1g046470	LF	AT4G26620
Bo1g046490	LF	AT4G26630
Bo1g046510	LF	AT4G26640
Bo1g046520	LF	AT4G26650
Bo1g046530	LF	AT4G26670
Bo1g046550	LF	AT4G26680
Bo1g046560	LF	AT4G26680
Bo1g046580	LF	AT4G26690
Bo1g046640	LF	AT4G26710
Bo1g046650	LF	AT4G26740
Bo1g046660	LF	AT4G26750
Bo1g046670	LF	AT4G26760
Bo1g047720	LF	AT4G26790
Bo1g047730	LF	AT4G26800
Bo1g047740	LF	AT4G26810
Bo1g047750	LF	AT4G26840
Bo1g047760	LF	AT4G26850
Bo1g047770	LF	AT4G26860
Bo1g047780	LF	AT4G26880
Bo1g047790	LF	AT4G26890
Bo1g047800	LF	AT4G26900
Bo1g047810	LF	AT4G26965
Bo1g047830	LF	AT4G27000
Bo1g047840	LF	AT4G27010
Bo1g047850	LF	AT4G27020
Bo1g047860	LF	AT4G27030
Bo1g047940	LF	AT4G27100
Bo1g047950	LF	AT4G27110
Bo1g047970	LF	AT4G27140
Bo1g048010	LF	AT4G27180
Bo1g048080	LF	AT4G27190
Bo1g048090	LF	AT4G27240
Bo1g048130	LF	AT4G27260
Bo1g048160	LF	AT4G27290
Bo1g048190	LF	AT4G27310
Bo1g048200	LF	AT4G27320
Bo1g048210	LF	AT4G27330
Bo1g048220	LF	AT4G27340
Bo1g048230	LF	AT4G27350
Bo1g048240	LF	AT4G27360
Bo1g048280	LF	AT4G27370
Bo1g048290	LF	AT4G27380
Bo1g048300	LF	AT4G27410
Bo1g048310	LF	AT4G27420
Bo1g049320	LF	AT4G27430
Bo1g049330	LF	AT4G27435
Bo1g049360	LF	AT4G27450
Bo1g049410	LF	AT4G27480
Bo1g049420	LF	AT4G27490
Bo1g049440	LF	AT4G27510
Bo1g049450	LF	AT4G27520
Bo1g049460	LF	AT4G27540
Bo1g049470	LF	AT4G27585
Bo1g049480	LF	AT4G27590
Bo1g049510	LF	AT4G27610
Bo1g049540	LF	AT4G27630
Bo1g049550	LF	AT4G27640
Bo1g049590	LF	AT4G27650
Bo1g050670	LF	AT4G27652
Bo1g050690	LF	AT4G27660
Bo1g050780	LF	AT4G27670
Bo1g050810	LF	AT4G27720
Bo1g050820	LF	AT4G27730
Bo1g050830	LF	AT4G27740
Bo1g050850	LF	AT4G27750
Bo1g050900	LF	AT4G27790
Bo1g050910	LF	AT4G27810
Bo1g050930	LF	AT4G27860
Bo1g050980	LF	AT4G27880
Bo1g050990	LF	AT4G27890
Bo1g051000	LF	AT4G27900
Bo1g051020	LF	AT4G27920
Bo1g051030	LF	AT4G27940
Bo1g051120	LF	AT4G28000
Bo1g051130	LF	AT4G28030
Bo1g051140	LF	AT4G28040
Bo1g051150	LF	AT4G28050
Bo1g051160	LF	AT4G28060
Bo1g051170	LF	AT4G28070
Bo1g051180	LF	AT4G28085
Bo1g051200	LF	AT4G28088
Bo1g051210	LF	AT4G28100
Bo1g051220	LF	AT4G28110
Bo1g051230	LF	AT4G28140
Bo1g051240	LF	AT4G28160
Bo1g051250	LF	AT4G28170
Bo1g051260	LF	AT4G28180
Bo1g051270	LF	AT4G28190
Bo1g051280	LF	AT4G28210
Bo1g051290	LF	AT4G28230
Bo1g051300	LF	AT4G28240
Bo1g051330	LF	AT4G28250
Bo1g051350	LF	AT4G28270
Bo1g051360	LF	AT4G28280
Bo1g051370	LF	AT4G28290
Bo1g051380	LF	AT4G28300
Bo1g051390	LF	AT4G28320
Bo1g051410	LF	AT4G28330
Bo1g051450	LF	AT4G28365
Bo1g051460	LF	AT4G28380
Bo1g017530	LF	AT4G28405
Bo1g017510	LF	AT4G28410
Bo1g017500	LF	AT4G28430
Bo1g017490	LF	AT4G28440
Bo1g017480	LF	AT4G28460
Bo1g017450	LF	AT4G28470
Bo1g017440	LF	AT4G28480
Bo1g017430	LF	AT4G28485
Bo1g017420	LF	AT4G28490
Bo1g017410	LF	AT4G28500
Bo1g017400	LF	AT4G28510
Bo1g017390	LF	AT4G28520
Bo1g017380	LF	AT4G28530
Bo1g017340	LF	AT4G28600
Bo1g017290	LF	AT4G28700
Bo1g017280	LF	AT4G28703
Bo1g017200	LF	AT4G28720
Bo1g017150	LF	AT4G28750
Bo1g017140	LF	AT4G28760
Bo1g017130	LF	AT4G28770
Bo1g017120	LF	AT4G28780
Bo1g017080	LF	AT4G28790
Bo1g017070	LF	AT4G28820
Bo1g017060	LF	AT4G28830
Bo1g017050	LF	AT4G28840
Bo1g017010	LF	AT4G28890
Bo1g017000	LF	AT4G28910
Bo1g016990	LF	AT4G28940
Bo1g016970	LF	AT4G28950
Bo1g016940	LF	AT4G29020
Bo1g016900	LF	AT4G29035
Bo1g016890	LF	AT4G29040
Bo1g016880	LF	AT4G29050
Bo1g016790	LF	AT4G29080
Bo1g016710	LF	AT4G29100
Bo1g016680	LF	AT4G29140
Bo1g016650	LF	AT4G29190
Bo1g016640	LF	AT4G29220
Bo1g016630	LF	AT4G29230
Bo1g016600	LF	AT4G29260
Bo1g016620	LF	AT4G29260
Bo1g016540	LF	AT4G29330
Bo1g016510	LF	AT4G29340
Bo1g016500	LF	AT4G29360
Bo1g016480	LF	AT4G29370
Bo1g016470	LF	AT4G29370
Bo1g016440	LF	AT4G29370
Bo1g016430	LF	AT4G29380
Bo1g016420	LF	AT4G29390
Bo1g016410	LF	AT4G29400
Bo1g016390	LF	AT4G29420
Bo1g016380	LF	AT4G29430
Bo1g016370	LF	AT4G29440
Bo1g016350	LF	AT4G29450
Bo1g016340	LF	AT4G29460
Bo1g016310	LF	AT4G29490
Bo1g016300	LF	AT4G29510
Bo1g016270	LF	AT4G29530
Bo1g016260	LF	AT4G29540
Bo1g016150	LF	AT4G29540
Bo1g016280	LF	AT4G29550
Bo1g016170	LF	AT4G29550
Bo1g016190	LF	AT4G29658
Bo1g016200	LF	AT4G29660
Bo1g016100	LF	AT4G29720
Bo1g016080	LF	AT4G29730
Bo1g016070	LF	AT4G29735
Bo1g011940	LF	AT4G29760
Bo1g014970	LF	AT4G29780
Bo1g014960	LF	AT4G29790
Bo1g014950	LF	AT4G29800
Bo1g014940	LF	AT4G29810
Bo1g014930	LF	AT4G29820
Bo1g014920	LF	AT4G29830
Bo1g014910	LF	AT4G29840
Bo1g014900	LF	AT4G29850
Bo1g014890	LF	AT4G29860
Bo1g014880	LF	AT4G29870
Bo1g014860	LF	AT4G29905
Bo1g014720	LF	AT4G29930
Bo1g014710	LF	AT4G29940
Bo1g014700	LF	AT4G29950
Bo1g014690	LF	AT4G29960
Bo1g014660	LF	AT4G30010
Bo1g014640	LF	AT4G30020
Bo1g014630	LF	AT4G30030
Bo1g014600	LF	AT4G30080
Bo1g014590	LF	AT4G30090
Bo1g014550	LF	AT4G30110
Bo1g014540	LF	AT4G30130
Bo1g014510	LF	AT4G30140
Bo1g014500	LF	AT4G30150
Bo1g014490	LF	AT4G30160
Bo1g014470	LF	AT4G30170
Bo1g014450	LF	AT4G30180
Bo1g014440	LF	AT4G30190
Bo1g014420	LF	AT4G30200
Bo1g014400	LF	AT4G30210
Bo1g014390	LF	AT4G30230
Bo1g014360	LF	AT4G30250
Bo1g014350	LF	AT4G30260
Bo1g014310	LF	AT4G30270
Bo1g014290	LF	AT4G30320
Bo1g014280	LF	AT4G30340
Bo1g013260	LF	AT4G30350
Bo1g013240	LF	AT4G30370
Bo1g013210	LF	AT4G30380
Bo1g013190	LF	AT4G30400
Bo1g013180	LF	AT4G30410
Bo1g013150	LF	AT4G30430
Bo1g013140	LF	AT4G30440
Bo1g013110	LF	AT4G30480
Bo1g012100	LF	AT4G30520
Bo1g012090	LF	AT4G30520
Bo1g012070	LF	AT4G30530
Bo1g012060	LF	AT4G30600
Bo1g012040	LF	AT4G30640
Bo1g011930	LF	AT4G30680
Bo1g011920	LF	AT4G30690
Bo1g011900	LF	AT4G30770
Bo1g011890	LF	AT4G30780
Bo1g011880	LF	AT4G30790
Bo1g011820	LF	AT4G30850
Bo1g011800	LF	AT4G30910
Bo1g011770	LF	AT4G30950
Bo1g011750	LF	AT4G30960
Bo1g011740	LF	AT4G30980
Bo1g011730	LF	AT4G30993
Bo1g011690	LF	AT4G31000
Bo1g011680	LF	AT4G31020
Bo1g011670	LF	AT4G31040
Bo1g011570	LF	AT4G31130
Bo1g011560	LF	AT4G31140
Bo1g011550	LF	AT4G31170
Bo1g011530	LF	AT4G31200
Bo1g011460	LF	AT4G31290
Bo1g011450	LF	AT4G31300
Bo1g011440	LF	AT4G31320
Bo1g011390	LF	AT4G31350
Bo1g011360	LF	AT4G31390
Bo1g011350	LF	AT4G31410
Bo1g011340	LF	AT4G31420
Bo1g011330	LF	AT4G31430
Bo1g011290	LF	AT4G31460
Bo1g011220	LF	AT4G31500
Bo1g011210	LF	AT4G31540
Bo1g011200	LF	AT4G31550
Bo1g011070	LF	AT4G31670
Bo1g011060	LF	AT4G31700
Bo1g011040	LF	AT4G31720
Bo1g011020	LF	AT4G31730
Bo1g011000	LF	AT4G31750
Bo1g010990	LF	AT4G31780
Bo1g010980	LF	AT4G31790
Bo1g010960	LF	AT4G31800
Bo1g010930	LF	AT4G31820
Bo1g010900	LF	AT4G31840
Bo1g010890	LF	AT4G31850
Bo1g010870	LF	AT4G31880
Bo1g010860	LF	AT4G31890
Bo1g010840	LF	AT4G31900
Bo1g010830	LF	AT4G31920
Bo1g010820	LF	AT4G31930
Bo1g010810	LF	AT4G31980
Bo1g010780	LF	AT4G32010
Bo1g010770	LF	AT4G32020
Bo1g010760	LF	AT4G32030
Bo1g010730	LF	AT4G32060
Bo1g010720	LF	AT4G32070
Bo1g010710	LF	AT4G32090
Bo1g010690	LF	AT4G32100
Bo1g010680	LF	AT4G32120
Bo1g010640	LF	AT4G32180
Bo1g010630	LF	AT4G32190
Bo1g010610	LF	AT4G32250
Bo1g010620	LF	AT4G32260
Bo1g010600	LF	AT4G32270
Bo1g010580	LF	AT4G32280
Bo1g010570	LF	AT4G32285
Bo1g010560	LF	AT4G32290
Bo1g010550	LF	AT4G32295
Bo1g010540	LF	AT4G32300
Bo1g010530	LF	AT4G32330
Bo1g010520	LF	AT4G32340
Bo1g010510	LF	AT4G32350
Bo1g010500	LF	AT4G32370
Bo1g010490	LF	AT4G32390
Bo1g010460	LF	AT4G32400
Bo1g010450	LF	AT4G32410
Bo1g010440	LF	AT4G32420
Bo1g010430	LF	AT4G32430
Bo1g010390	LF	AT4G32460
Bo1g010380	LF	AT4G32470
Bo1g010370	LF	AT4G32500
Bo1g010340	LF	AT4G32530
Bo1g010300	LF	AT4G32540
Bo1g010290	LF	AT4G32551
Bo1g010280	LF	AT4G32560
Bo1g010260	LF	AT4G32570
Bo1g010250	LF	AT4G32590
Bo1g010240	LF	AT4G32600
Bo1g010230	LF	AT4G32605
Bo1g010220	LF	AT4G32610
Bo1g010200	LF	AT4G32620
Bo1g010190	LF	AT4G32630
Bo1g010180	LF	AT4G32640
Bo1g010170	LF	AT4G32650
Bo1g010160	LF	AT4G32660
Bo1g010140	LF	AT4G32670
Bo1g010120	LF	AT4G32670
Bo1g010110	LF	AT4G32680
Bo1g010090	LF	AT4G32710
Bo1g010000	LF	AT4G32780
Bo1g009990	LF	AT4G32800
Bo1g009920	LF	AT4G32810
Bo1g009910	LF	AT4G32820
Bo1g009900	LF	AT4G32830
Bo1g009890	LF	AT4G32840
Bo1g009880	LF	AT4G32850
Bo1g009870	LF	AT4G32860
Bo1g009860	LF	AT4G32870
Bo1g009850	LF	AT4G32880
Bo1g008780	LF	AT4G32890
Bo1g008730	LF	AT4G32890
Bo1g008650	LF	AT4G32900
Bo1g008640	LF	AT4G32910
Bo1g008630	LF	AT4G32920
Bo1g008810	LF	AT4G32920
Bo1g008620	LF	AT4G32940
Bo1g008560	LF	AT4G32980
Bo1g008750	LF	AT4G32980
Bo1g008530	LF	AT4G33000
Bo1g008520	LF	AT4G33010
Bo1g008510	LF	AT4G33020
Bo1g008500	LF	AT4G33030
Bo1g008490	LF	AT4G33040
Bo1g008480	LF	AT4G33050
Bo1g008470	LF	AT4G33060
Bo1g008460	LF	AT4G33080
Bo1g008450	LF	AT4G33090
Bo1g008440	LF	AT4G33110
Bo1g008420	LF	AT4G33130
Bo1g008410	LF	AT4G33140
Bo1g008360	LF	AT4G33150
Bo1g008350	LF	AT4G33160
Bo1g008340	LF	AT4G33170
Bo1g008330	LF	AT4G33180
Bo1g008300	LF	AT4G33240
Bo1g008240	LF	AT4G33300
Bo1g008230	LF	AT4G33330
Bo1g008180	LF	AT4G33410
Bo1g008170	LF	AT4G33420
Bo1g008150	LF	AT4G33440
Bo1g008120	LF	AT4G33467
Bo1g008100	LF	AT4G33490
Bo1g008090	LF	AT4G33495
Bo1g008080	LF	AT4G33500
Bo1g008070	LF	AT4G33500
Bo1g008060	LF	AT4G33510
Bo1g008050	LF	AT4G33520
Bo1g008040	LF	AT4G33530
Bo1g008010	LF	AT4G33585
Bo1g007990	LF	AT4G33620
Bo1g007980	LF	AT4G33625
Bo1g007970	LF	AT4G33640
Bo1g007960	LF	AT4G33650
Bo1g007940	LF	AT4G33666
Bo1g007920	LF	AT4G33700
Bo1g007880	LF	AT4G33740
Bo1g007810	LF	AT4G33870
Bo1g007780	LF	AT4G33880
Bo1g007770	LF	AT4G33925
Bo1g007760	LF	AT4G33940
Bo1g007750	LF	AT4G33945
Bo1g007740	LF	AT4G33950
Bo1g007720	LF	AT4G33970
Bo1g007710	LF	AT4G33980
Bo1g007700	LF	AT4G34000
Bo1g007680	LF	AT4G34020
Bo1g007670	LF	AT4G34060
Bo1g007660	LF	AT4G34100
Bo1g007650	LF	AT4G34110
Bo1g007640	LF	AT4G34120
Bo1g007610	LF	AT4G34131
Bo1g007590	LF	AT4G34160
Bo1g007560	LF	AT4G34190
Bo1g007550	LF	AT4G34200
Bo1g007540	LF	AT4G34215
Bo1g007530	LF	AT4G34220
Bo1g007500	LF	AT4G34230
Bo1g007480	LF	AT4G34240
Bo1g007470	LF	AT4G34250
Bo1g007460	LF	AT4G34260
Bo1g007440	LF	AT4G34270
Bo1g007420	LF	AT4G34280
Bo1g007410	LF	AT4G34290
Bo1g007400	LF	AT4G34310
Bo1g007390	LF	AT4G34340
Bo1g007380	LF	AT4G34350
Bo1g007370	LF	AT4G34360
Bo1g007360	LF	AT4G34370
Bo1g007330	LF	AT4G34410
Bo1g007260	LF	AT4G34450
Bo1g007250	LF	AT4G34460
Bo1g007200	LF	AT4G34530
Bo1g007180	LF	AT4G34540
Bo1g007170	LF	AT4G34560
Bo1g007160	LF	AT4G34570
Bo1g007140	LF	AT4G34590
Bo1g007130	LF	AT4G34600
Bo1g007120	LF	AT4G34620
Bo1g007110	LF	AT4G34630
Bo1g007100	LF	AT4G34640
Bo1g007090	LF	AT4G34660
Bo1g007080	LF	AT4G34670
Bo1g007070	LF	AT4G34680
Bo1g007060	LF	AT4G34700
Bo1g007020	LF	AT4G34710
Bo1g007010	LF	AT4G34710
Bo1g006980	LF	AT4G34750
Bo1g006920	LF	AT4G34760
Bo1g006910	LF	AT4G34830
Bo1g006900	LF	AT4G34860
Bo1g006890	LF	AT4G34870
Bo1g006880	LF	AT4G34890
Bo1g006870	LF	AT4G34910
Bo1g006860	LF	AT4G34940
Bo1g006850	LF	AT4G34950
Bo1g006840	LF	AT4G34960
Bo1g006830	LF	AT4G34970
Bo1g006820	LF	AT4G34990
Bo1g006810	LF	AT4G35010
Bo1g006800	LF	AT4G35020
Bo1g006790	LF	AT4G35030
Bo1g006780	LF	AT4G35040
Bo1g006770	LF	AT4G35060
Bo1g006760	LF	AT4G35070
Bo1g006750	LF	AT4G35080
Bo1g006740	LF	AT4G35090
Bo1g006730	LF	AT4G35100
Bo1g006720	LF	AT4G35110
Bo1g006710	LF	AT4G35120
Bo1g006700	LF	AT4G35120
Bo1g006690	LF	AT4G35130
Bo1g006680	LF	AT4G35140
Bo1g006670	LF	AT4G35180
Bo1g006660	LF	AT4G35190
Bo1g006650	LF	AT4G35220
Bo1g006640	LF	AT4G35230
Bo1g006630	LF	AT4G35240
Bo1g006610	LF	AT4G35260
Bo1g006600	LF	AT4G35270
Bo1g006590	LF	AT4G35280
Bo1g006580	LF	AT4G35280
Bo1g006570	LF	AT4G35290
Bo1g006560	LF	AT4G35300
Bo1g006550	LF	AT4G35310
Bo1g006540	LF	AT4G35320
Bo1g006530	LF	AT4G35350
Bo1g006520	LF	AT4G35370
Bo1g006510	LF	AT4G35380
Bo1g006500	LF	AT4G35390
Bo1g006490	LF	AT4G35410
Bo1g006440	LF	AT4G35450
Bo1g006420	LF	AT4G35480
Bo1g006410	LF	AT4G35500
Bo1g006400	LF	AT4G35510
Bo1g006390	LF	AT4G35530
Bo1g006380	LF	AT4G35540
Bo1g006370	LF	AT4G35550
Bo1g006360	LF	AT4G35570
Bo1g006350	LF	AT4G35570
Bo1g006340	LF	AT4G35590
Bo1g006330	LF	AT4G35600
