gene	cabbage1	cabbage2	kale1	kale2	kale3	TO10001	TO10002	TO10003
Bo2g097480	Bo2g097480	2	4	1	2	1	0	1	1
Bo2g097500	Bo2g097500	619	1647	1229	1243	1062	1117	1602	1166
Bo2g097510	Bo2g097510	228	686	502	473	227	552	656	514
Bo2g097520	Bo2g097520	450	932	1029	532	444	610	795	821
Bo2g097530	Bo2g097530	0	0	0	0	0	2	2	9
Bo2g097540	Bo2g097540	276	689	613	456	284	747	745	641
Bo2g097550	Bo2g097550	577	1257	1726	1062	926	1355	1203	1091
Bo2g097560	Bo2g097560	0	1	1	1	0	0	0	0
Bo2g097570	Bo2g097570	10	33	76	65	56	18	23	10
Bo2g097580	Bo2g097580	93	245	238	168	118	246	234	208
Bo2g097600	Bo2g097600	1	0	0	1	6	0	10	8
Bo2g097610	Bo2g097610	0	0	0	0	1	3	4	4
Bo2g097630	Bo2g097630	152	472	631	454	289	504	583	495
Bo2g097640	Bo2g097640	2	5	0	0	0	0	2	2
Bo2g097650	Bo2g097650	1	2	1	1	4	1	3	4
Bo2g097660	Bo2g097660	59	159	132	104	83	137	132	116
Bo2g097680	Bo2g097680	0	0	0	0	1	0	1	0
Bo2g097710	Bo2g097710	171	490	561	292	193	267	309	296
Bo2g098720	Bo2g098720	0	0	1	0	3	0	6	4
Bo2g098730	Bo2g098730	0	0	0	4	10	6	26	29
Bo2g098740	Bo2g098740	27	78	38	17	11	61	53	42
Bo2g098750	Bo2g098750	34	53	374	259	225	58	80	89
Bo2g098760	Bo2g098760	74	276	217	160	144	178	207	194
Bo2g098770	Bo2g098770	0	0	0	0	0	0	4	1
Bo2g098780	Bo2g098780	0	0	0	0	1	0	1	1
Bo2g098790	Bo2g098790	0	0	1	0	2	5	0	1
Bo2g098800	Bo2g098800	0	0	4	2	2	1	6	8
Bo2g098810	Bo2g098810	0	0	3	2	0	1	4	1
Bo2g098820	Bo2g098820	1	14	2	4	2	0	3	3
Bo2g098830	Bo2g098830	0	0	0	0	0	3	1	1
Bo2g098850	Bo2g098850	0	0	0	0	0	0	2	1
Bo2g098880	Bo2g098880	275	343	340	344	211	475	679	660
Bo2g098890	Bo2g098890	0	0	2	0	0	2	0	1
Bo2g098900	Bo2g098900	2	26	5	3	4	31	32	32
Bo2g098920	Bo2g098920	1	3	0	2	2	3	0	4
Bo2g098930	Bo2g098930	114	191	205	235	151	93	162	116
Bo2g098940	Bo2g098940	2	4	1	1	1	7	6	3
Bo2g098950	Bo2g098950	2	2	0	0	2	8	12	9
Bo2g098960	Bo2g098960	0	0	0	0	1	0	1	0
Bo2g098970	Bo2g098970	0	0	34	21	22	43	83	46
Bo2g098980	Bo2g098980	4	0	16	12	10	5	9	6
Bo2g098990	Bo2g098990	1	0	0	0	0	4	3	3
Bo2g099000	Bo2g099000	2	1	0	0	4	5	13	11
Bo2g099010	Bo2g099010	0	0	4	2	1	0	0	0
Bo2g099020	Bo2g099020	0	0	0	0	2	1	16	9
Bo2g099030	Bo2g099030	0	0	0	0	2	0	0	0
Bo2g099040	Bo2g099040	0	0	0	0	1	1	1	1
Bo2g099050	Bo2g099050	0	0	0	1	3	1	2	0
Bo2g099060	Bo2g099060	440	660	1122	651	500	647	919	864
Bo2g099070	Bo2g099070	14	12	40	19	17	19	44	31
Bo2g099080	Bo2g099080	16	39	19	16	9	52	76	67
Bo2g099090	Bo2g099090	0	0	0	0	0	0	2	3
Bo2g099100	Bo2g099100	0	1	1	0	4	0	2	3
Bo2g099110	Bo2g099110	6	29	40	12	16	14	10	4
Bo2g099120	Bo2g099120	0	0	0	1	1	3	2	1
Bo2g099130	Bo2g099130	0	0	0	0	2	3	6	2
Bo2g099160	Bo2g099160	8	39	5	0	0	7	4	2
Bo2g099170	Bo2g099170	0	0	0	0	1	1	2	0
Bo2g099190	Bo2g099190	12	27	85	84	42	71	83	45
Bo2g099200	Bo2g099200	0	0	0	0	0	1	1	1
Bo2g099210	Bo2g099210	0	0	0	0	2	16	24	15
Bo2g099230	Bo2g099230	0	0	0	0	0	0	9	13
Bo2g099250	Bo2g099250	17	83	0	0	3	1	3	1
Bo2g100260	Bo2g100260	0	1	0	0	0	0	1	1
Bo2g100270	Bo2g100270	43	146	67	60	31	150	158	118
Bo2g100280	Bo2g100280	0	0	1	0	3	0	0	1
Bo2g100290	Bo2g100290	58	214	331	246	191	321	241	230
Bo2g100300	Bo2g100300	91	196	298	157	127	194	212	205
Bo2g100310	Bo2g100310	204	471	418	490	270	438	569	564
Bo2g100320	Bo2g100320	1	0	0	0	0	0	5	5
Bo2g100330	Bo2g100330	0	0	0	0	1	1	0	0
Bo2g100340	Bo2g100340	171	575	394	237	135	408	460	407
Bo2g100350	Bo2g100350	0	1	5	1	0	0	0	0
Bo2g100370	Bo2g100370	54	111	259	237	210	189	144	134
Bo2g100380	Bo2g100380	0	0	0	0	1	0	1	1
Bo2g100410	Bo2g100410	71	243	158	229	90	152	210	231
Bo2g100420	Bo2g100420	73	212	246	249	181	340	352	398
Bo2g100430	Bo2g100430	3	1	61	43	34	32	51	49
Bo2g100440	Bo2g100440	24	37	0	0	0	17	10	13
Bo2g100460	Bo2g100460	0	0	0	1	3	1	0	0
Bo2g100470	Bo2g100470	121	375	329	328	227	418	332	300
Bo2g100480	Bo2g100480	1	9	37	68	25	0	8	9
Bo2g100490	Bo2g100490	0	0	0	1	1	0	2	0
Bo2g100500	Bo2g100500	2	1	439	279	175	253	308	252
Bo2g100510	Bo2g100510	28	21	15	11	19	51	43	45
Bo2g100530	Bo2g100530	76	164	298	198	147	229	285	279
Bo2g100540	Bo2g100540	84	161	536	529	316	1071	1238	1090
Bo2g100550	Bo2g100550	33	84	83	57	50	131	118	137
Bo2g100560	Bo2g100560	49	148	269	114	107	85	112	112
Bo2g100570	Bo2g100570	12	20	25	17	22	25	37	33
Bo2g100580	Bo2g100580	8	35	67	30	26	29	23	31
Bo2g100590	Bo2g100590	134	218	347	234	153	190	233	220
Bo2g100600	Bo2g100600	672	1562	1171	440	487	629	1245	985
Bo2g100610	Bo2g100610	0	0	0	0	0	1	1	1
Bo2g100630	Bo2g100630	5	14	45	17	12	28	33	37
Bo2g100640	Bo2g100640	5	7	0	0	2	1	0	1
Bo2g100650	Bo2g100650	0	0	1	4	5	13	72	49
Bo2g100660	Bo2g100660	0	2	0	0	7	4	4	3
Bo2g100670	Bo2g100670	0	0	3	1	3	3	7	9
Bo2g100690	Bo2g100690	0	0	2	0	2	1	5	2
Bo2g100710	Bo2g100710	0	0	18	9	13	21	25	17
Bo2g100720	Bo2g100720	0	0	0	0	0	0	3	1
Bo2g100730	Bo2g100730	7	13	12	5	5	24	27	17
Bo2g100740	Bo2g100740	1	3	28	24	19	7	19	8
Bo2g100750	Bo2g100750	102	208	146	108	68	176	191	177
Bo2g100760	Bo2g100760	1	0	0	0	0	0	2	0
Bo2g100770	Bo2g100770	0	0	0	0	0	1	0	2
Bo2g100790	Bo2g100790	37	103	132	139	87	161	156	145
Bo2g101790	Bo2g101790	142	340	343	278	194	273	381	363
Bo2g101810	Bo2g101810	11	30	1	2	6	8	17	17
Bo2g101820	Bo2g101820	1	1	0	0	0	1	0	1
Bo2g101830	Bo2g101830	1	12	0	1	2	0	0	2
Bo2g101840	Bo2g101840	0	0	0	1	8	1	4	2
Bo2g101850	Bo2g101850	0	0	0	0	2	0	4	9
Bo2g101860	Bo2g101860	0	0	0	0	1	2	4	7
Bo2g101880	Bo2g101880	0	0	2	0	2	1	3	2
Bo2g101890	Bo2g101890	0	0	8	1	2	0	1	0
Bo2g101900	Bo2g101900	0	0	0	0	0	1	0	1
Bo2g101910	Bo2g101910	0	0	3	1	2	4	0	4
Bo2g101920	Bo2g101920	0	0	3	0	1	0	0	1
Bo2g101940	Bo2g101940	0	0	0	0	1	4	14	12
Bo2g101960	Bo2g101960	28	85	116	117	82	199	152	167
Bo2g101970	Bo2g101970	0	0	0	0	0	1	5	3
Bo2g101980	Bo2g101980	3	4	0	0	2	2	0	0
Bo2g102020	Bo2g102020	0	0	1	1	0	0	3	3
Bo2g102030	Bo2g102030	1	0	450	306	234	268	338	329
Bo2g102040	Bo2g102040	2	0	2	4	3	7	9	4
Bo2g102050	Bo2g102050	68	211	161	101	80	92	46	58
Bo2g102060	Bo2g102060	0	0	0	0	2	0	0	2
Bo2g102070	Bo2g102070	0	0	0	0	0	1	1	2
Bo2g102080	Bo2g102080	0	0	0	0	0	0	1	3
Bo2g102090	Bo2g102090	0	0	0	0	0	1	1	0
Bo2g102100	Bo2g102100	0	0	0	0	3	0	0	0
Bo2g102120	Bo2g102120	0	0	0	0	0	2	0	0
Bo2g102130	Bo2g102130	3	10	0	0	0	0	0	0
Bo2g102140	Bo2g102140	0	0	0	0	0	0	1	1
Bo2g102150	Bo2g102150	9	27	12	5	12	0	1	0
Bo2g102160	Bo2g102160	0	0	0	0	0	0	1	1
Bo2g102170	Bo2g102170	0	0	4	2	6	0	1	2
Bo2g102190	Bo2g102190	6	8	50	28	16	1	8	9
Bo2g102200	Bo2g102200	0	0	0	0	1	12	35	20
Bo2g102210	Bo2g102210	0	1	0	0	0	1	3	5
Bo2g102220	Bo2g102220	0	0	0	0	0	1	8	5
Bo2g102240	Bo2g102240	0	0	0	0	0	1	4	0
Bo2g103240	Bo2g103240	0	0	0	0	0	0	17	16
Bo2g103250	Bo2g103250	0	0	0	0	1	1	3	3
Bo2g103270	Bo2g103270	20	45	141	82	63	88	105	88
Bo2g103280	Bo2g103280	49	98	0	1	1	82	102	75
Bo2g103290	Bo2g103290	1	0	0	1	7	0	6	5
Bo2g103300	Bo2g103300	66	176	117	95	69	126	101	94
Bo2g103310	Bo2g103310	17	34	1	0	1	0	3	2
Bo2g103320	Bo2g103320	59	105	0	2	3	133	174	133
Bo2g103330	Bo2g103330	0	0	0	1	1	0	3	3
Bo2g103340	Bo2g103340	106	206	259	202	132	269	342	295
Bo2g103350	Bo2g103350	0	2	10	7	8	13	7	5
Bo2g103360	Bo2g103360	2	4	5	2	6	2	3	2
Bo2g103370	Bo2g103370	31	70	25	23	19	53	54	36
Bo2g103380	Bo2g103380	0	0	0	1	0	0	0	1
Bo2g104400	Bo2g104400	0	0	0	0	0	6	7	3
Bo2g104420	Bo2g104420	78	237	488	225	235	195	229	262
Bo2g104430	Bo2g104430	0	0	0	1	0	1	1	1
Bo2g104440	Bo2g104440	0	0	0	0	1	0	1	1
Bo2g104450	Bo2g104450	4	0	0	0	6	1	7	4
Bo2g104460	Bo2g104460	0	0	0	0	0	1	5	5
Bo2g104480	Bo2g104480	4	9	2	4	1	1	4	0
Bo2g104490	Bo2g104490	6	41	2	0	1	31	18	22
Bo2g104510	Bo2g104510	1	0	2	0	3	9	4	6
Bo2g104520	Bo2g104520	91	254	266	200	108	244	224	207
Bo2g104540	Bo2g104540	1997	3231	7235	4545	3774	3999	4036	3581
Bo2g104550	Bo2g104550	0	0	1	1	0	0	0	0
Bo2g104590	Bo2g104590	220	508	462	284	179	252	404	317
Bo2g104600	Bo2g104600	20	46	3	3	1	26	33	36
Bo2g104610	Bo2g104610	0	0	0	0	0	1	2	2
Bo2g104620	Bo2g104620	0	0	0	0	0	1	3	0
Bo2g104630	Bo2g104630	0	0	0	0	3	1	2	1
Bo2g104640	Bo2g104640	0	0	0	0	0	0	2	1
Bo2g104650	Bo2g104650	0	3	4	3	8	1	4	3
Bo2g104660	Bo2g104660	1	0	0	0	3	0	2	0
Bo2g104670	Bo2g104670	0	1	0	0	0	1	3	1
Bo2g104680	Bo2g104680	0	1	0	0	0	2	3	2
Bo2g104700	Bo2g104700	0	0	0	1	1	6	14	18
Bo2g104710	Bo2g104710	0	0	27	14	12	1	0	0
Bo2g104720	Bo2g104720	0	0	0	0	0	0	5	3
Bo2g104730	Bo2g104730	0	0	10	1	10	0	0	0
Bo2g104740	Bo2g104740	2	0	0	0	0	8	19	26
Bo2g104750	Bo2g104750	0	0	0	0	1	2	1	1
Bo2g104760	Bo2g104760	0	0	0	0	0	2	3	3
Bo2g104800	Bo2g104800	3	6	12	12	7	5	3	9
Bo2g104810	Bo2g104810	0	0	0	0	1	0	0	1
Bo2g104830	Bo2g104830	0	0	0	0	4	2	5	0
Bo2g104840	Bo2g104840	2	1	4	2	4	3	9	10
Bo2g104850	Bo2g104850	0	3	9	0	1	11	8	4
Bo2g104860	Bo2g104860	225	483	475	409	249	367	476	402
Bo2g104870	Bo2g104870	21	81	40	32	24	100	67	57
Bo2g104890	Bo2g104890	0	0	0	0	0	1	2	2
Bo2g104900	Bo2g104900	36	134	226	184	122	125	140	113
Bo2g104910	Bo2g104910	0	0	0	0	0	0	2	1
Bo2g104930	Bo2g104930	1	0	0	0	1	0	1	0
Bo2g104940	Bo2g104940	0	0	0	0	0	2	8	5
Bo2g104960	Bo2g104960	2	3	153	99	86	23	22	18
Bo2g104970	Bo2g104970	126	428	442	514	276	420	327	319
Bo2g104980	Bo2g104980	13	25	0	0	0	0	0	0
Bo2g104990	Bo2g104990	2	9	0	0	0	5	5	6
Bo2g105000	Bo2g105000	25	65	68	44	99	61	85	94
Bo2g105010	Bo2g105010	51	113	62	42	20	21	31	28
Bo2g105020	Bo2g105020	33	84	88	67	40	3	4	4
Bo2g105030	Bo2g105030	0	2	1	0	1	0	2	0
Bo2g105050	Bo2g105050	0	0	0	0	1	98	83	81
Bo2g105060	Bo2g105060	0	1	0	0	2	0	0	1
Bo2g105070	Bo2g105070	0	0	4	3	3	1	0	0
Bo2g105090	Bo2g105090	0	0	0	0	5	2	5	5
Bo2g105110	Bo2g105110	112	246	254	176	93	187	295	225
Bo2g105120	Bo2g105120	3	7	5	8	2	8	11	12
Bo2g105130	Bo2g105130	0	0	0	0	0	0	4	3
Bo2g105140	Bo2g105140	0	0	0	0	0	1	3	0
Bo2g105150	Bo2g105150	0	1	0	0	1	15	5	7
Bo2g105160	Bo2g105160	0	0	0	0	0	1	8	10
Bo2g105170	Bo2g105170	0	0	0	0	0	0	1	1
Bo2g105180	Bo2g105180	0	1	0	0	1	2	2	2
Bo2g105190	Bo2g105190	60	175	168	111	74	126	140	107
Bo2g105200	Bo2g105200	1	0	5	3	5	3	2	2
Bo2g105210	Bo2g105210	1	5	4	0	4	7	7	5
Bo2g105230	Bo2g105230	31	68	99	67	54	107	75	61
Bo2g105250	Bo2g105250	192	523	979	609	503	289	409	361
Bo2g105280	Bo2g105280	0	2	0	0	1	3	8	10
Bo2g105290	Bo2g105290	0	0	0	0	0	0	2	12
Bo2g105300	Bo2g105300	0	1	0	0	0	1	1	2
Bo2g105310	Bo2g105310	0	0	0	0	0	1	7	11
Bo2g105330	Bo2g105330	93	171	65	41	23	110	108	66
Bo2g105340	Bo2g105340	38	101	56	48	30	80	84	88
Bo2g105350	Bo2g105350	17	42	24	14	16	58	42	33
Bo2g105360	Bo2g105360	1	1	0	0	3	2	2	4
Bo2g105370	Bo2g105370	0	0	0	0	1	0	1	0
Bo2g106380	Bo2g106380	0	0	0	0	0	1	2	0
Bo2g106390	Bo2g106390	27	81	46	22	24	34	41	42
Bo2g106400	Bo2g106400	0	0	0	0	0	0	0	2
Bo2g106410	Bo2g106410	3	20	2	5	1	22	21	16
Bo2g106420	Bo2g106420	0	0	0	0	3	2	10	5
Bo2g106430	Bo2g106430	12	35	4	4	3	0	0	0
Bo2g106440	Bo2g106440	0	2	3	1	1	0	1	1
Bo2g106460	Bo2g106460	81	240	267	162	120	120	201	175
Bo2g107460	Bo2g107460	0	1	1	0	1	0	3	1
Bo2g107470	Bo2g107470	63	198	196	125	68	111	151	118
Bo2g107480	Bo2g107480	53	118	131	68	55	183	135	143
Bo2g107490	Bo2g107490	0	0	0	0	0	0	2	2
Bo2g107500	Bo2g107500	0	0	10	7	4	1	12	15
Bo2g107510	Bo2g107510	0	0	0	0	0	3	6	8
Bo2g107520	Bo2g107520	0	0	0	3	3	12	11	17
Bo2g107530	Bo2g107530	337	959	172	168	112	527	534	444
Bo2g107540	Bo2g107540	9	14	56	48	46	85	72	67
Bo2g107550	Bo2g107550	24	89	149	81	67	75	84	57
Bo2g107570	Bo2g107570	3	3	2	1	5	9	5	6
Bo2g107580	Bo2g107580	0	0	1	0	2	2	4	6
Bo2g107590	Bo2g107590	0	6	43	50	40	5	3	2
Bo2g107610	Bo2g107610	98	274	278	189	150	171	241	251
Bo2g107630	Bo2g107630	1	0	0	0	0	3	3	1
Bo2g107640	Bo2g107640	6	9	0	1	4	2	1	2
Bo2g107650	Bo2g107650	0	0	10	12	9	0	0	0
Bo2g108650	Bo2g108650	7	23	43	37	15	51	26	34
Bo2g108660	Bo2g108660	2	0	0	0	0	0	0	0
Bo2g108670	Bo2g108670	0	0	2	2	0	5	8	11
Bo2g108680	Bo2g108680	0	0	1	1	3	2	1	0
Bo2g108690	Bo2g108690	0	1	0	0	0	1	0	1
Bo2g108730	Bo2g108730	2320	5376	7667	4841	3100	2243	3557	2929
Bo2g108740	Bo2g108740	125	243	375	204	192	318	341	281
Bo2g108750	Bo2g108750	0	0	0	0	1	1	1	1
Bo2g108760	Bo2g108760	0	0	0	2	0	3	0	6
Bo2g108770	Bo2g108770	0	0	0	1	1	1	7	2
Bo2g108780	Bo2g108780	22	55	107	76	51	59	86	72
Bo2g108790	Bo2g108790	3	0	0	0	2	0	5	4
Bo2g108800	Bo2g108800	0	0	0	0	1	0	4	2
Bo2g108810	Bo2g108810	9	23	8	21	16	46	45	27
Bo2g108820	Bo2g108820	11	23	26	26	26	48	38	40
Bo2g108830	Bo2g108830	0	0	31	23	13	0	1	4
Bo2g108840	Bo2g108840	22	25	54	50	71	394	292	421
Bo2g108850	Bo2g108850	0	0	494	338	185	0	0	1
Bo2g108860	Bo2g108860	0	1	0	0	2	1	10	7
Bo2g108870	Bo2g108870	0	0	0	0	1	2	1	1
Bo2g108880	Bo2g108880	1	0	0	1	4	5	0	1
Bo2g108890	Bo2g108890	2	8	4	6	3	16	11	13
Bo2g108900	Bo2g108900	0	0	0	0	7	0	11	10
Bo2g108910	Bo2g108910	4	6	16	11	4	5	9	15
Bo2g108920	Bo2g108920	54	86	312	297	145	218	250	191
Bo2g108930	Bo2g108930	1	1	2	4	9	0	1	0
Bo2g108940	Bo2g108940	0	0	3	4	3	3	10	9
Bo2g108950	Bo2g108950	0	0	2	1	9	10	36	32
Bo2g108960	Bo2g108960	51	84	210	185	135	243	278	251
Bo2g108970	Bo2g108970	801	1769	1340	1055	594	1081	1311	1009
Bo2g108990	Bo2g108990	0	0	2	1	1	15	19	10
Bo2g109010	Bo2g109010	108	211	429	262	191	141	174	194
Bo2g109020	Bo2g109020	0	0	0	0	0	0	2	1
Bo2g109030	Bo2g109030	13	55	70	19	14	29	31	27
Bo2g109050	Bo2g109050	0	0	0	0	0	1	1	2
Bo2g109060	Bo2g109060	0	1	5	1	5	15	19	21
Bo2g109070	Bo2g109070	0	0	0	1	2	1	1	5
Bo2g109090	Bo2g109090	0	0	0	0	1	5	8	4
Bo2g109110	Bo2g109110	118	257	278	148	111	219	238	241
Bo2g109120	Bo2g109120	1042	2349	2428	1586	1040	1219	1844	1323
Bo2g109130	Bo2g109130	0	0	0	0	2	9	4	11
Bo2g109140	Bo2g109140	0	0	0	0	3	1	7	2
Bo2g109150	Bo2g109150	9	9	3	2	2	10	9	7
Bo2g109160	Bo2g109160	0	0	0	0	1	2	0	0
Bo2g109180	Bo2g109180	0	0	1	0	0	2	1	1
Bo2g109200	Bo2g109200	2	1	0	0	0	6	3	3
Bo2g109210	Bo2g109210	2	0	10	4	2	8	15	14
Bo2g109220	Bo2g109220	0	0	13	17	13	3	4	2
Bo2g109230	Bo2g109230	0	0	0	0	0	0	0	2
Bo2g109240	Bo2g109240	0	0	18	15	3	0	0	1
Bo2g109260	Bo2g109260	48	66	150	61	56	63	99	81
Bo2g109270	Bo2g109270	35	90	196	156	131	124	117	109
Bo2g109280	Bo2g109280	0	1	2	2	3	0	1	0
Bo2g109290	Bo2g109290	0	0	0	0	1	2	2	1
Bo2g109300	Bo2g109300	0	0	1	3	4	0	2	1
Bo2g109310	Bo2g109310	934	1827	2384	2200	945	2333	3013	2350
Bo2g109320	Bo2g109320	41	121	21	5	1	34	23	29
Bo2g109330	Bo2g109330	0	3	11	12	9	25	31	22
Bo2g110330	Bo2g110330	155	344	421	338	229	330	394	372
Bo2g110340	Bo2g110340	0	0	0	0	4	1	0	4
Bo2g110350	Bo2g110350	0	2	2	2	13	11	25	34
Bo2g110360	Bo2g110360	72	139	176	158	92	148	167	154
Bo2g110380	Bo2g110380	0	0	0	0	0	4	3	1
Bo2g110390	Bo2g110390	9243	11412	22251	16869	13098	16378	20405	20547
Bo2g110400	Bo2g110400	161	272	354	210	156	249	339	347
Bo2g110410	Bo2g110410	0	0	0	0	0	2	5	1
Bo2g110420	Bo2g110420	0	0	0	0	1	1	9	9
Bo2g110430	Bo2g110430	0	0	0	0	1	0	1	2
Bo2g110440	Bo2g110440	0	0	0	0	1	0	0	1
Bo2g110450	Bo2g110450	0	0	0	0	0	1	3	2
Bo2g110460	Bo2g110460	0	1	20	22	18	41	53	43
Bo2g110470	Bo2g110470	0	0	0	0	3	0	0	0
Bo2g110500	Bo2g110500	0	0	0	0	2	1	8	5
Bo2g110510	Bo2g110510	0	0	0	0	0	1	3	2
Bo2g110520	Bo2g110520	0	0	0	0	0	0	1	2
Bo2g110530	Bo2g110530	0	0	23	12	11	0	0	0
Bo2g110540	Bo2g110540	32	85	105	42	20	86	134	106
Bo2g110550	Bo2g110550	306	537	236	122	62	983	1043	1028
Bo2g110560	Bo2g110560	115	203	243	165	113	181	244	212
Bo2g110580	Bo2g110580	110	234	365	273	300	368	320	280
Bo2g110590	Bo2g110590	0	0	0	0	1	1	2	1
Bo2g110600	Bo2g110600	272	514	747	520	349	601	857	804
Bo2g110610	Bo2g110610	75	209	203	148	94	212	209	202
Bo2g110640	Bo2g110640	81	235	441	363	322	272	194	200
Bo2g110650	Bo2g110650	26	61	239	205	137	97	84	113
Bo2g110660	Bo2g110660	0	0	0	0	2	1	2	3
Bo2g110670	Bo2g110670	0	0	0	0	1	0	4	2
Bo2g110680	Bo2g110680	0	0	0	0	2	0	4	2
Bo2g110690	Bo2g110690	5	14	0	0	0	1	13	16
Bo2g110700	Bo2g110700	0	0	0	0	0	0	1	1
Bo2g110710	Bo2g110710	0	0	0	1	0	0	2	0
Bo2g110720	Bo2g110720	0	0	15	11	4	20	21	10
Bo2g110730	Bo2g110730	0	0	123	115	54	2	11	12
Bo2g110750	Bo2g110750	0	0	2	0	2	1	5	2
Bo2g110760	Bo2g110760	0	0	0	0	0	0	2	1
Bo2g110770	Bo2g110770	0	0	0	0	1	2	4	1
Bo2g111780	Bo2g111780	0	0	0	0	1	5	6	12
Bo2g111790	Bo2g111790	23	34	98	60	57	45	88	79
Bo2g111800	Bo2g111800	0	0	0	0	1	13	6	9
Bo2g111810	Bo2g111810	0	0	0	3	5	3	24	27
Bo2g111820	Bo2g111820	82	204	202	163	111	202	204	207
Bo2g111830	Bo2g111830	0	0	0	2	5	1	9	17
Bo2g111840	Bo2g111840	0	0	0	0	0	2	1	0
Bo2g111870	Bo2g111870	82	170	138	104	78	205	136	163
Bo2g112870	Bo2g112870	0	0	3	2	31	1	4	4
Bo2g112880	Bo2g112880	2	1	1	1	5	5	5	5
Bo2g112890	Bo2g112890	0	0	0	0	0	0	6	5
Bo2g112910	Bo2g112910	0	1	0	0	0	0	5	5
Bo2g112920	Bo2g112920	0	0	0	0	0	0	0	4
Bo2g113920	Bo2g113920	0	0	1	0	0	0	3	1
Bo2g113930	Bo2g113930	0	0	0	0	2	0	2	0
Bo2g113940	Bo2g113940	0	0	0	1	1	0	2	10
Bo2g113950	Bo2g113950	0	0	0	2	0	4	9	13
Bo2g113960	Bo2g113960	0	0	88	79	54	119	165	125
Bo2g113970	Bo2g113970	0	0	21	10	7	57	70	64
Bo2g113980	Bo2g113980	27	68	25	26	26	74	81	69
Bo2g113990	Bo2g113990	2	1	55	26	27	77	73	89
Bo2g114000	Bo2g114000	0	0	0	0	4	0	6	4
Bo2g114010	Bo2g114010	0	0	2	2	3	3	12	12
Bo2g114020	Bo2g114020	252	352	57	79	88	310	372	332
Bo2g114030	Bo2g114030	0	0	1	0	2	0	12	7
Bo2g114040	Bo2g114040	0	0	0	1	17	23	93	58
Bo2g114050	Bo2g114050	2	4	10	1	1	2	5	0
Bo2g114060	Bo2g114060	161	263	295	251	156	259	252	240
Bo2g115060	Bo2g115060	0	0	1	0	0	1	1	5
Bo2g115080	Bo2g115080	0	0	0	0	0	1	4	4
Bo2g115090	Bo2g115090	1	0	0	0	1	0	9	8
Bo2g115110	Bo2g115110	0	2	0	0	1	1	1	2
Bo2g115120	Bo2g115120	0	4	4	1	2	1	1	4
Bo2g115130	Bo2g115130	0	0	0	0	1	0	1	4
Bo2g115150	Bo2g115150	0	0	1	2	3	1	6	7
Bo2g115160	Bo2g115160	0	0	0	0	4	1	5	10
Bo2g115170	Bo2g115170	0	0	0	1	4	5	39	17
Bo2g115180	Bo2g115180	0	15	9	4	15	9	23	18
Bo2g115190	Bo2g115190	3	5	124	103	93	2	0	1
Bo2g116190	Bo2g116190	0	0	0	0	2	0	0	0
Bo2g116200	Bo2g116200	7	17	9	2	3	26	33	43
Bo2g116210	Bo2g116210	155	411	311	294	187	174	324	304
Bo2g116220	Bo2g116220	0	0	0	0	0	1	1	0
Bo2g116230	Bo2g116230	0	3	0	0	2	0	1	2
Bo2g116250	Bo2g116250	22	50	32	28	19	37	41	30
Bo2g116270	Bo2g116270	19	59	78	45	42	41	56	49
Bo2g116290	Bo2g116290	0	1	1	6	23	16	96	58
Bo2g116300	Bo2g116300	0	0	0	0	0	7	18	21
Bo2g116310	Bo2g116310	1	0	0	0	0	1	4	2
Bo2g116320	Bo2g116320	26	64	111	65	41	74	97	118
Bo2g116330	Bo2g116330	48	103	98	64	45	48	72	65
Bo2g116340	Bo2g116340	0	0	0	0	0	1	8	1
Bo2g116360	Bo2g116360	0	0	116	72	51	0	0	0
Bo2g116370	Bo2g116370	0	0	49	54	42	0	0	3
Bo2g116380	Bo2g116380	0	3	27	14	17	0	0	0
Bo2g116410	Bo2g116410	120	289	182	97	59	242	324	245
Bo2g116430	Bo2g116430	0	0	0	0	0	1	1	3
Bo2g116450	Bo2g116450	0	0	0	0	1	0	3	2
Bo2g116460	Bo2g116460	0	0	0	0	0	0	2	1
Bo2g116470	Bo2g116470	5	33	37	16	17	30	11	27
Bo2g116480	Bo2g116480	2	3	2	6	3	24	11	5
Bo2g116490	Bo2g116490	0	0	0	0	1	0	5	1
Bo2g116500	Bo2g116500	0	0	2	1	1	5	6	12
Bo2g116520	Bo2g116520	0	0	0	0	4	5	8	3
Bo2g116530	Bo2g116530	0	0	1	0	0	0	2	4
Bo2g116550	Bo2g116550	0	0	0	1	3	1	6	3
Bo2g116560	Bo2g116560	2	2	1	0	4	3	6	1
Bo2g116570	Bo2g116570	0	0	0	0	1	0	0	1
Bo2g116600	Bo2g116600	45	94	52	32	29	109	89	79
Bo2g116610	Bo2g116610	10	2	14	10	12	11	19	22
Bo2g116630	Bo2g116630	94	227	474	278	222	286	359	314
Bo2g116650	Bo2g116650	0	0	0	0	0	1	6	1
Bo2g116660	Bo2g116660	0	0	0	1	1	0	0	0
Bo2g116670	Bo2g116670	0	0	0	0	2	2	0	2
Bo2g116680	Bo2g116680	0	0	2	1	0	2	3	3
Bo2g116700	Bo2g116700	0	1	3	2	1	0	4	2
Bo2g116710	Bo2g116710	0	0	0	0	0	1	0	1
Bo2g116720	Bo2g116720	0	0	0	0	8	9	34	23
Bo2g116730	Bo2g116730	0	0	0	0	0	0	2	2
Bo2g116740	Bo2g116740	29	73	98	50	27	79	104	121
